EIN,Organization Name,Organization Incorporation Date,Location State,Location County,Location Name,Location Type,Location Open Date,Location Close Date,Location City,Location Zip Code,Record Year,Record Month,Stray At Large Canine Adult,Stray At Large Canine Up to 5 Months,Stray At Large Canine Age Unknown,Stray At Large Feline Adult,Stray At Large Feline Up to 5 Months,Stray At Large Feline Age Unknown,Relinquished By Owner Canine Adult,Relinquished By Owner Canine Up to 5 Months,Relinquished By Owner Canine Age Unknown,Relinquished By Owner Feline Adult,Relinquished By Owner Feline Up to 5 Months,Relinquished By Owner Feline Age Unknown,Intake Owner-Intended Euthanasia Canine Adult,Intake Owner-Intended Euthanasia Canine Up to 5 Months,Intake Owner-Intended Euthanasia Canine Age Unknown,Intake Owner-Intended Euthanasia Feline Adult,Intake Owner-Intended Euthanasia Feline Up to 5 Months,Intake Owner-Intended Euthanasia Feline Age Unknown,Transferred In From Agency Canine Adult,Transferred In From Agency Canine Up to 5 Months,Transferred In From Agency Canine Age Unknown,Transferred In From Agency Feline Adult,Transferred In From Agency Feline Up to 5 Months,Transferred In From Agency Feline Age Unknown,Other Intakes Canine Adult,Other Intakes Canine Up to 5 Months,Other Intakes Canine Age Unknown,Other Intakes Feline Adult,Other Intakes Feline Up to 5 Months,Other Intakes Feline Age Unknown,Adoption Canine Adult,Adoption Canine Up to 5 Months,Adoption Canine Age Unknown,Adoption Feline Adult,Adoption Feline Up to 5 Months,Adoption Feline Age Unknown,Returned To Owner Canine Adult,Returned To Owner Canine Up to 5 Months,Returned To Owner Canine Age Unknown,Returned To Owner Feline Adult,Returned To Owner Feline Up to 5 Months,Returned To Owner Feline Age Unknown,Transfer To Another Agency Canine Adult,Transfer To Another Agency Canine Up to 5 Months,Transfer To Another Agency Canine Age Unknown,Transfer To Another Agency Feline Adult,Transfer To Another Agency Feline Up to 5 Months,Transfer To Another Agency Feline Age Unknown,Returned To Field Canine Adult,Returned To Field Canine Up to 5 Months,Returned To Field Canine Age Unknown,Returned To Field Feline Adult,Returned To Field Feline Up to 5 Months,Returned To Field Feline Age Unknown,Other Live Outcome Canine Adult,Other Live Outcome Canine Up to 5 Months,Other Live Outcome Canine Age Unknown,Other Live Outcome Feline Adult,Other Live Outcome Feline Up to 5 Months,Other Live Outcome Feline Age Unknown,Died In Care Canine Adult,Died In Care Canine Up to 5 Months,Died In Care Canine Age Unknown,Died In Care Feline Adult,Died In Care Feline Up to 5 Months,Died In Care Feline Age Unknown,Lost In Care Canine Adult,Lost In Care Canine Up to 5 Months,Lost In Care Canine Age Unknown,Lost In Care Feline Adult,Lost In Care Feline Up to 5 Months,Lost In Care Feline Age Unknown,Shelter Euthanasia Canine Adult,Shelter Euthanasia Canine Up to 5 Months,Shelter Euthanasia Canine Age Unknown,Shelter Euthanasia Feline Adult,Shelter Euthanasia Feline Up to 5 Months,Shelter Euthanasia Feline Age Unknown,Outcome Owner-Intended Euthanasia Canine Adult,Outcome Owner-Intended Euthanasia Canine Up to 5 Months,Outcome Owner-Intended Euthanasia Canine Age Unknown,Outcome Owner-Intended Euthanasia Feline Adult,Outcome Owner-Intended Euthanasia Feline Up to 5 Months,Outcome Owner-Intended Euthanasia Feline Age Unknown,Beginning Total Canine,Beginning Total Feline,Ending Total Canine,Ending Total Feline
27-2204508,New Leash on Life USA,3/1/2010 12:00:00 AM,PA,Montgomery County,New Leash on Life USA,"Rescue, Private",3/1/2010 12:00:00 AM,,PENN VALLEY,19072,2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
57-1186810,Child and Pet Relief Fund,10/1/2003 12:00:00 AM,IN,Lake County,Child and Pet Relief Fund,"Rescue, Private",10/1/2003 12:00:00 AM,,CEDAR LAKE,46303,2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,0
23-7110434,Butler County Humane Society,6/1/1897 12:00:00 AM,PA,Butler County,Butler County Humane Society,"Shelter, Private",6/1/1897 12:00:00 AM,,RENFREW,16053,2012,8,18,0,0,2,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,8,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,93,53,86
61-6000794,Breckinridge county animal shelter,5/1/2015 12:00:00 AM,KY,Breckinridge County,Breckinirdge county animal shelter,Government Animal Services,5/1/2015 12:00:00 AM,,HARDINSBURG,40143,2012,10,0,0,39,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,1,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,9,0,0,0,0,0,0,39,22,39,22
27-4575751,german shepherd rescue of the rockies,1/1/2011 12:00:00 AM,CO,Morgan County,german shepherd rescue of the rockies,"Rescue, Private",1/1/2011 12:00:00 AM,,FORT MORGAN,80701,2011,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
23-7358431,Geauga Humane Society's Rescue Village,7/1/1978 12:00:00 AM,OH,Geauga County,Geauga Humane Society's Rescue Village,"Shelter, Private",7/1/1978 12:00:00 AM,,NOVELTY,44072,2011,9,2,5,1,19,76,9,10,2,0,7,9,0,0,0,0,0,0,0,14,6,1,2,0,5,4,1,0,3,2,0,26,7,0,37,71,0,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,0,0,2,5,13,0,0,0,0,0,0,24,129,31,124
26-4014748,Tenth Life Cat Rescue,1/1/2009 12:00:00 AM,MO,Saint Louis City,Tenth Life Cat Rescue,"Rescue, Private",1/1/2009 12:00:00 AM,,ST. LOUIS,63118,2011,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
58-1342479,Humane Society of Charlotte,7/1/1978 12:00:00 AM,NC,Mecklenburg County,Humane Society of Charlotte,"Shelter, Private",7/1/1978 12:00:00 AM,,CHARLOTTE,28203,2012,2,0,0,0,0,0,0,29,23,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,1,0,38,29,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,34,33,33
91-0828499,Blue Mountain Humane Society,7/1/1967 12:00:00 AM,WA,Walla Walla County,Blue Mountain Humane Society,"Shelter, Government Contract",7/1/1967 12:00:00 AM,,WALLA WALLA,99362,2011,2,0,0,67,0,0,33,0,0,21,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,33,0,0,22,0,0,30,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,70,32,76,55
83-0294762,Park County Animal Shelter,1/1/1996 12:00:00 AM,WY,Park County,Park County Animal Shelter,"Shelter, Government Contract",1/1/1996 12:00:00 AM,,CODY,82414,2012,12,9,3,9,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,44,16,32
47-0820810,Beatrice humane Society,5/1/2000 12:00:00 AM,NE,Gage County,Beatrice Humane Society,"Shelter, Government Contract",5/1/2000 12:00:00 AM,,BEATRICE,68310,2012,7,18,11,3,7,17,11,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,16,7,0,7,0,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,5,13,0,0,0,0,0,0,25,91,34,83
59-6000661,Hillsborough County Pet Resource Center,,FL,Hillsborough County,Hillsborough County Pet Resource Center,Government Animal Services,,,TAMPA,33619,2011,11,0,0,556,0,0,722,0,0,108,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,220,0,0,112,0,0,84,0,0,5,0,0,84,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,1,0,0,0,0,0,313,0,0,648,0,0,0,0,0,0,0,0,0,0
20-5318898,Dakin Humane Society,5/1/1969 12:00:00 AM,MA,Hampden County,Dakin Humane Society,"Shelter, Private",5/1/1969 12:00:00 AM,,SPRINGFIELD,1005,2012,12,7,0,0,49,13,0,41,6,0,88,26,0,10,0,0,7,0,0,21,0,0,13,8,0,0,4,0,1,6,0,40,6,0,123,81,0,0,0,0,18,0,0,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,1,0,23,1,0,5,0,0,5,0,0,26,183,22,139
35-0989705,Kokomo Humane Society,1/1/1990 12:00:00 AM,IN,Howard County,Kokomo Humane Society,"Shelter, Government Contract",1/1/1990 12:00:00 AM,,KOKOMO,46902,2012,8,76,13,0,41,41,0,66,7,0,62,74,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,16,28,0,35,3,0,1,0,0,14,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,73,80,1,2,0,0,0,1,0,48,115,72,128
27-2204508,New Leash on Life USA,3/1/2010 12:00:00 AM,PA,Montgomery County,New Leash on Life USA,"Rescue, Private",3/1/2010 12:00:00 AM,,PENN VALLEY,19072,2011,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0
57-0384155,Humane Society of Greenwood,3/1/1958 12:00:00 AM,SC,Greenwood County,Humane Society of Greenwood,"Shelter, Government Contract",3/1/1958 12:00:00 AM,,GREENWOOD,29649,2011,7,71,40,2,69,84,6,38,33,0,18,57,14,3,0,0,0,0,0,0,0,0,1,0,0,15,18,3,2,35,0,27,5,0,9,8,0,27,1,0,2,0,0,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,1,59,57,2,78,117,13,3,0,0,0,0,0,103,99,128,146
14-1999592,Refurbished Pets of Southern Michigan,11/1/2007 12:00:00 AM,MI,Branch County,Refurbished Pets of Southern Michigan,"Rescue, Private",11/1/2007 12:00:00 AM,,COLDWATER,49036,2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
47-0820810,Beatrice humane Society,5/1/2000 12:00:00 AM,NE,Gage County,Beatrice Humane Society,"Shelter, Government Contract",5/1/2000 12:00:00 AM,,BEATRICE,68310,2011,1,12,1,2,6,5,5,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,3,0,22,3,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,0,0,0,0,0,0,48,78,42,66
58-6001495,Habersham County Animal Care & Control,10/1/2008 12:00:00 AM,GA,Habersham County,Habersham County Animal Care & Control,Government Animal Services,10/1/2008 12:00:00 AM,,CLARKESVILLE,30523,2012,5,34,28,7,19,33,50,15,4,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,9,3,0,2,3,0,7,0,5,4,0,1,38,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,24,2,7,11,10,13,0,0,0,0,0,0,173,86,143,145
94-6000814,Kings County Animal Services,1/1/1980 12:00:00 AM,CA,Kings County,Kings County Animal Services,Government Animal Services,1/1/1980 12:00:00 AM,,HANFORD,93232,2011,6,188,51,8,78,260,6,20,9,3,5,11,1,0,0,0,0,0,0,2,0,0,0,0,0,21,9,0,0,0,0,23,9,0,3,8,0,42,4,1,2,0,0,47,11,2,26,136,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,10,0,4,0,0,3,0,0,88,40,8,67,140,6,0,0,0,0,0,0,211,291,241,250
94-6000814,Kings County Animal Services,1/1/1980 12:00:00 AM,CA,Kings County,Kings County Animal Services,Government Animal Services,1/1/1980 12:00:00 AM,,HANFORD,93232,2011,3,193,71,8,101,43,32,27,6,0,14,0,1,0,0,0,0,0,0,4,0,0,0,0,0,30,7,0,1,0,0,23,15,0,2,0,0,53,1,1,7,0,0,47,29,0,40,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,1,135,19,5,53,3,34,0,0,0,0,0,0,187,134,200,171
46-3508487,furever after,,GA,Bibb County,furever after,"Rescue, Private",,,MACON,31204,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77-0540565,Valley Animal Center,6/1/1992 12:00:00 AM,CA,Fresno County,Valley Animal Center,"Shelter, Private",6/1/1992 12:00:00 AM,,FRESNO,93726,2012,8,1,1,0,0,8,1,4,0,0,12,10,0,0,0,0,0,0,0,15,31,0,10,3,0,0,0,0,0,0,0,25,17,0,22,11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,5,1,4,0,0,0,0,0,0,96,340,102,335
39-1030012,Neenah Animal Shelter,1/1/1962 12:00:00 AM,WI,Winnebago County,Neenah Animal Shelter,"Shelter, Private",1/1/1962 12:00:00 AM,,NEENAH,54956,2012,2,9,0,0,7,1,2,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,7,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,13,38
31-4379492,Columbus Humane,1/1/1883 12:00:00 AM,OH,Franklin County,Columbus Humane,"Shelter, Private",1/1/1883 12:00:00 AM,,HILLIARD,43026,2012,10,0,0,0,1,0,22,15,12,3,5,1,2,13,0,5,18,0,11,17,3,0,5,2,17,11,7,8,3,3,4,36,8,0,19,13,0,1,0,4,0,0,1,1,0,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,2,2,34,0,0,0,0,0,0,47,43,48,23
57-0384155,Humane Society of Greenwood,3/1/1958 12:00:00 AM,SC,Greenwood County,Humane Society of Greenwood,"Shelter, Government Contract",3/1/1958 12:00:00 AM,,GREENWOOD,29649,2012,11,50,16,3,41,32,16,36,32,3,28,25,1,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,2,14,0,11,0,0,15,7,0,10,0,1,2,0,1,33,20,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,1,36,37,4,55,78,16,1,0,0,1,0,0,93,102,85,75
61-6000794,Breckinridge county animal shelter,5/1/2015 12:00:00 AM,KY,Breckinridge County,Breckinirdge county animal shelter,Government Animal Services,5/1/2015 12:00:00 AM,,HARDINSBURG,40143,2012,12,0,0,9,0,0,25,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,26,12,26
93-0574297,Heartland Humane Society,6/1/1966 12:00:00 AM,OR,Benton County,Heartland Humane Society,"Shelter, Government Contract",6/1/1966 12:00:00 AM,,CORVALLIS,97333,2012,11,20,3,3,33,28,3,13,3,1,11,11,0,2,0,2,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,21,8,0,22,46,0,16,1,3,4,1,1,2,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,1,5,4,3,2,0,2,0,0,2,35,156,24,141
88-0144253,The Animal Foundation,3/1/1978 12:00:00 AM,NV,Clark County,The Animal Foundation,"Shelter, Government Contract",3/1/1978 12:00:00 AM,,LAS VEGAS,89101,2011,11,1098,97,56,512,197,303,322,29,3,93,23,0,126,5,1,31,0,1,0,0,0,0,0,0,149,16,0,54,12,2,485,86,2,93,79,0,294,14,2,43,0,1,125,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,1,0,1,0,0,697,36,56,530,162,299,124,5,1,31,0,1,626,395,588,377
35-0989705,Kokomo Humane Society,1/1/1990 12:00:00 AM,IN,Howard County,Kokomo Humane Society,"Shelter, Government Contract",1/1/1990 12:00:00 AM,,KOKOMO,46902,2011,8,75,10,0,44,60,2,54,11,0,65,81,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,53,13,0,20,6,0,17,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,65,17,0,119,136,0,1,1,0,0,9,0,81,99,72,85
37-1470493,Bond County Humane Society,8/1/2003 12:00:00 AM,IL,Bond County,Bond County Humane Society,"Shelter, Private",8/1/2003 12:00:00 AM,,GREENVILLE,62246,2012,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,8,35
23-7110434,Butler County Humane Society,6/1/1897 12:00:00 AM,PA,Butler County,Butler County Humane Society,"Shelter, Private",6/1/1897 12:00:00 AM,,RENFREW,16053,2011,1,19,0,3,6,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,13,8,0,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,52,36,42
48-0554339,Kansas Humane Society of Wichita,1/1/1888 12:00:00 AM,KS,Sedgwick County,Kansas Humane Society of Wichita,"Shelter, Private",1/1/1888 12:00:00 AM,,WICHITA,67219,2012,12,0,0,0,0,0,0,204,76,2,204,111,31,46,0,1,16,0,0,154,24,0,42,19,0,4,0,0,0,0,0,249,107,0,148,86,0,11,0,0,16,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,6,3,96,50,31,40,0,0,16,0,0,106,120,84,92
59-6000702,Lee County Domestic Animal Services,1/1/1999 12:00:00 AM,FL,Lee County,Lee County Domestic Animal Services,Government Animal Services,1/1/1999 12:00:00 AM,,FORT MYERS,33912,2011,11,0,0,301,0,0,321,0,0,14,0,0,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,19,0,0,11,0,0,90,0,0,82,0,0,86,0,0,8,0,0,18,0,0,14,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,166,0,0,233,0,0,3,0,0,0,119,255,98,201
37-1470493,Bond County Humane Society,8/1/2003 12:00:00 AM,IL,Bond County,Bond County Humane Society,"Shelter, Private",8/1/2003 12:00:00 AM,,GREENVILLE,62246,2012,11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,60,9,54
23-7358431,Geauga Humane Society's Rescue Village,7/1/1978 12:00:00 AM,OH,Geauga County,Geauga Humane Society's Rescue Village,"Shelter, Private",7/1/1978 12:00:00 AM,,NOVELTY,44072,2012,10,4,9,0,10,31,5,19,12,0,8,8,0,0,0,0,0,0,0,14,15,0,2,0,0,4,1,0,5,3,7,25,43,0,28,46,0,2,0,0,6,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,54,107,56,90
59-6000702,Lee County Domestic Animal Services,1/1/1999 12:00:00 AM,FL,Lee County,Lee County Domestic Animal Services,Government Animal Services,1/1/1999 12:00:00 AM,,FORT MYERS,33912,2012,7,0,0,402,0,0,420,0,0,26,0,0,14,0,0,2,0,0,10,0,0,1,0,0,0,0,0,43,0,0,32,0,0,123,0,0,103,0,0,76,0,0,7,0,0,50,0,0,6,0,0,0,0,0,29,0,0,7,0,0,46,0,0,0,0,0,10,0,0,1,0,0,0,0,0,188,0,0,349,0,0,1,0,0,7,94,201,133,197
59-6000702,Lee County Domestic Animal Services,1/1/1999 12:00:00 AM,FL,Lee County,Lee County Domestic Animal Services,Government Animal Services,1/1/1999 12:00:00 AM,,FORT MYERS,33912,2011,1,0,0,350,0,0,270,0,0,17,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,0,0,22,0,0,7,0,0,96,0,0,81,0,0,82,0,0,7,0,0,53,0,0,24,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,112,0,0,2,0,0,5,100,92,119,84
26-4014748,Tenth Life Cat Rescue,1/1/2009 12:00:00 AM,MO,Saint Louis City,Tenth Life Cat Rescue,"Rescue, Private",1/1/2009 12:00:00 AM,,ST. LOUIS,63118,2012,8,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,73
27-4575751,german shepherd rescue of the rockies,1/1/2011 12:00:00 AM,CO,Morgan County,german shepherd rescue of the rockies,"Rescue, Private",1/1/2011 12:00:00 AM,,FORT MORGAN,80701,2011,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
93-6002148,city of dallas police department,1/1/1874 12:00:00 AM,OR,Polk County,city of dallas police department,Government Animal Services,1/1/1874 12:00:00 AM,,DALLAS,97338,2012,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57-1186810,Child and Pet Relief Fund,10/1/2003 12:00:00 AM,IN,Lake County,Child and Pet Relief Fund,"Rescue, Private",10/1/2003 12:00:00 AM,,CEDAR LAKE,46303,2011,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,16,0
58-6074088,"PAWS Atlanta, Inc.",1/1/1964 12:00:00 AM,GA,DeKalb County,"PAWS Atlanta, Inc.","Rescue, Private",1/1/1964 12:00:00 AM,,DECATUR,30035,2011,4,3,2,1,5,11,0,4,0,0,2,0,0,0,0,0,0,0,0,7,1,0,1,4,0,0,0,0,0,0,0,16,4,0,5,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32,0,0
59-6000702,Lee County Domestic Animal Services,1/1/1999 12:00:00 AM,FL,Lee County,Lee County Domestic Animal Services,Government Animal Services,1/1/1999 12:00:00 AM,,FORT MYERS,33912,2012,3,0,0,348,0,0,251,0,0,27,0,0,14,0,0,4,0,0,2,0,0,0,0,0,6,0,0,26,0,0,8,0,0,126,0,0,54,0,0,111,0,0,8,0,0,44,0,0,39,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,135,0,0,123,0,0,3,0,0,2,133,115,113,108
94-2411106,Siskiyou Humane Society,6/1/1968 12:00:00 AM,CA,Siskiyou County,Siskiyou Humane Society,"Shelter, Government Contract",6/1/1968 12:00:00 AM,,MOUNT SHASTA,96067,2012,10,6,6,2,2,7,0,4,8,0,4,2,0,0,0,1,0,0,0,3,9,0,0,0,0,4,1,2,2,1,0,5,4,0,3,9,0,9,2,4,1,2,0,5,18,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,60,32,45
